title,author,price,format,link
The Chalice of the Gods (B&N Exclusive Edition) (Percy Jackson and the Olympians) (09/26/2023),by Rick Riordan,"
$15.99","
Hardcover",https://www.barnesandnoble.com/w/the-chalice-of-the-gods-rick-riordan/1142532993;jsessionid=FFF60017F7E9F6B8D41467DB904FEC3B.prodny_store01-atgap10?ean=9781368099370
Hello Beautiful (Oprah's Book Club) (03/14/2023),by Ann Napolitano,"
$23.80","
Hardcover",https://www.barnesandnoble.com/w/hello-beautiful-ann-napolitano/1141888934;jsessionid=FFF60017F7E9F6B8D41467DB904FEC3B.prodny_store01-atgap10?ean=9780593243732
"The Wager: A Tale of Shipwreck, Mutiny and Murder (04/18/2023)",by David Grann,"
$27.00","
Hardcover",https://www.barnesandnoble.com/w/the-wager-david-grann/1141813906;jsessionid=FFF60017F7E9F6B8D41467DB904FEC3B.prodny_store01-atgap10?ean=9780385534260
The Mister (04/16/2019),by E L James,"
$15.99","
Paperback",https://www.barnesandnoble.com/w/the-mister-e-l-james/1130342638;jsessionid=FFF60017F7E9F6B8D41467DB904FEC3B.prodny_store01-atgap10?ean=9781984898326
Hunting Adeline (01/26/2022),by H. D. Carlton,"
$19.86","
Paperback",https://www.barnesandnoble.com/w/hunting-adeline-h-d-carlton/1140925364;jsessionid=FFF60017F7E9F6B8D41467DB904FEC3B.prodny_store01-atgap10?ean=9798765520741
Lore Olympus: Volume Five (B&N Exclusive Edition) (10/03/2023),by Rachel Smythe,"
$23.99","
Hardcover",https://www.barnesandnoble.com/w/lore-olympus-rachel-smythe/1142908039;jsessionid=FFF60017F7E9F6B8D41467DB904FEC3B.prodny_store01-atgap10?ean=9780593600122
The Brothers Hawthorne (B&N Exclusive Edition) (08/29/2023),by Jennifer Lynn Barnes,"
$16.99","
Hardcover",https://www.barnesandnoble.com/w/the-brothers-hawthorne-jennifer-lynn-barnes/1142336901;jsessionid=FFF60017F7E9F6B8D41467DB904FEC3B.prodny_store01-atgap10?ean=9780316565233
The Checklist Manifesto: How to Get Things Right (01/04/2011),by Atul Gawande,"
$14.99","
Paperback",https://www.barnesandnoble.com/w/checklist-manifesto-atul-gawande/1100358644;jsessionid=FFF60017F7E9F6B8D41467DB904FEC3B.prodny_store01-atgap10?ean=9780312430009
The Fine Print (07/04/2021),by Lauren Asher,"
$17.99","
Paperback",https://www.barnesandnoble.com/w/the-fine-print-lauren-asher/1141649321;jsessionid=FFF60017F7E9F6B8D41467DB904FEC3B.prodny_store01-atgap10?ean=9781737507710
The Fragile Threads of Power (B&N Exclusive Edition) (09/26/2023),by V. E. Schwab,"
$26.99","
Hardcover",https://www.barnesandnoble.com/w/the-fragile-threads-of-power-v-e-schwab/1143179476;jsessionid=FFF60017F7E9F6B8D41467DB904FEC3B.prodny_store01-atgap10?ean=9781250323774
Terms and Conditions (02/24/2022),by Lauren Asher,"
$17.99","
Paperback",https://www.barnesandnoble.com/w/terms-and-conditions-lauren-asher/1141063692;jsessionid=FFF60017F7E9F6B8D41467DB904FEC3B.prodny_store01-atgap10?ean=9781737507734
Final Offer (01/31/2023),by Lauren Asher,"
$17.99","
Paperback",https://www.barnesandnoble.com/w/final-offer-lauren-asher/1141860855;jsessionid=FFF60017F7E9F6B8D41467DB904FEC3B.prodny_store01-atgap10?ean=9781728272221
"Go Get 'Em, Tiger! (A Hello!Lucky Book) (Barnes & Noble Edition) (06/07/2022)","by Hello!Lucky, Sabrina Moyle, Eunice Moyle (Illustrator)","
$5.00","
Hardcover",https://www.barnesandnoble.com/w/go-get-em-tiger-sabrina-moyle/1136018324;jsessionid=FFF60017F7E9F6B8D41467DB904FEC3B.prodny_store01-atgap10?ean=9781419764615
